bin,brand,type,level,bank,country
002102,PRIVATE LABEL,CREDIT,STANDARD,CHINA MERCHANTS BANK,CHINA
002195,PRIVATE LABEL,DEBIT,,CHINA MERCHANTS BANK,CHINA
002201,PRIVATE LABEL,DEBIT,,CHINA MERCHANTS BANK,CHINA
002239,PRIVATE LABEL,DEBIT,,CHINA MERCHANTS BANK,CHINA
002361,PRIVATE LABEL,CREDIT,STANDARD,CHINA MERCHANTS BANK,CHINA
004078,PRIVATE LABEL,DEBIT,GIFT,SHIFT4 PAYMENTS,UNITED STATES
004080,PRIVATE LABEL,DEBIT,GIFT,SHIFT4 PAYMENTS,UNITED STATES
007343,PRIVATE LABEL,DEBIT,,BANCO PAN,BRAZIL
010051,PAGOBANCOMAT,DEBIT,,,ITALY
010053,PAGOBANCOMAT,DEBIT,,,ITALY
010108,PAGOBANCOMAT,DEBIT,,,ITALY
010150,PAGOBANCOMAT,DEBIT,,,ITALY
010258,PAGOBANCOMAT,DEBIT,,,ITALY
010300,PAGOBANCOMAT,DEBIT,,,ITALY
010309,PAGOBANCOMAT,DEBIT,,,ITALY
011300,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011301,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011302,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011303,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011304,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011305,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011306,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011308,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
011309,LOCAL BRAND,DEBIT,PROPRIETARY ATM,"BDO UNIBANK, INC.",PHILIPPINES
012004,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
012047,PRIVATE LABEL,DEBIT,,BANCO DE CREDITO ARGENTINO,ARGENTINA
020010,PRIVATE LABEL,DEBIT,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA
020083,PAGOBANCOMAT,DEBIT,,,ITALY
020084,PAGOBANCOMAT,DEBIT,,,ITALY
020085,PAGOBANCOMAT,DEBIT,,,ITALY
020089,PAGOBANCOMAT,DEBIT,,,ITALY
020202,PRIVATE LABEL,DEBIT,INTERNET BANKING CODE CARD,CHINA CONSTRUCTION BANK,CHINA
021080,PRIVATE LABEL,DEBIT,,BANCO PICHINCHA,ECUADOR
021502,LOCAL BRAND,DEBIT,PROPRIETARY ATM,,PUERTO RICO
022004,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
026688,PRIVATE LABEL,DEBIT,GIFT,SHIFT4 PAYMENTS,UNITED STATES
030150,PAGOBANCOMAT,DEBIT,,,ITALY
030190,PAGOBANCOMAT,DEBIT,,,ITALY
030320,PAGOBANCOMAT,DEBIT,,,ITALY
030430,PAGOBANCOMAT,DEBIT,,,ITALY
030439,PAGOBANCOMAT,DEBIT,,,ITALY
030480,PAGOBANCOMAT,DEBIT,,,ITALY
030583,PAGOBANCOMAT,DEBIT,,,ITALY
030589,PAGOBANCOMAT,DEBIT,,,ITALY
030590,PAGOBANCOMAT,DEBIT,,,ITALY
030620,PAGOBANCOMAT,DEBIT,,,ITALY
030670,PAGOBANCOMAT,DEBIT,,,ITALY
030690,PAGOBANCOMAT,DEBIT,,,ITALY
030750,PAGOBANCOMAT,DEBIT,,,ITALY
030830,PAGOBANCOMAT,DEBIT,,,ITALY
030836,PAGOBANCOMAT,DEBIT,,,ITALY
030870,PAGOBANCOMAT,DEBIT,,,ITALY
031040,PAGOBANCOMAT,DEBIT,,,ITALY
031110,PAGOBANCOMAT,DEBIT,,,ITALY
031240,PAGOBANCOMAT,DEBIT,,,ITALY
031260,PAGOBANCOMAT,DEBIT,,,ITALY
031270,PAGOBANCOMAT,DEBIT,,,ITALY
031380,PAGOBANCOMAT,DEBIT,,,ITALY
031580,PAGOBANCOMAT,DEBIT,,,ITALY
031599,PAGOBANCOMAT,DEBIT,,,ITALY
031850,PAGOBANCOMAT,DEBIT,,,ITALY
032004,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
032005,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
032040,PAGOBANCOMAT,DEBIT,,,ITALY
032050,PAGOBANCOMAT,DEBIT,,,ITALY
032115,PAGOBANCOMAT,DEBIT,,,ITALY
032390,PAGOBANCOMAT,DEBIT,,,ITALY
032400,PAGOBANCOMAT,DEBIT,,,ITALY
032420,PAGOBANCOMAT,DEBIT,,,ITALY
032440,PAGOBANCOMAT,DEBIT,,,ITALY
032500,PAGOBANCOMAT,DEBIT,,,ITALY
032630,PAGOBANCOMAT,DEBIT,,,ITALY
032681,PAGOBANCOMAT,DEBIT,,,ITALY
032682,PAGOBANCOMAT,DEBIT,,,ITALY
032685,PAGOBANCOMAT,DEBIT,,,ITALY
032968,PAGOBANCOMAT,DEBIT,,,ITALY
033320,PAGOBANCOMAT,DEBIT,,,ITALY
033870,PAGOBANCOMAT,DEBIT,,,ITALY
033990,PAGOBANCOMAT,DEBIT,,,ITALY
034000,PAGOBANCOMAT,DEBIT,,,ITALY
034029,PAGOBANCOMAT,DEBIT,,,ITALY
034030,PAGOBANCOMAT,DEBIT,,,ITALY
034253,PAGOBANCOMAT,DEBIT,,,ITALY
034310,PAGOBANCOMAT,DEBIT,,,ITALY
034400,PAGOBANCOMAT,DEBIT,,,ITALY
034420,PAGOBANCOMAT,DEBIT,,,ITALY
034880,PAGOBANCOMAT,DEBIT,,,ITALY
034938,PAGOBANCOMAT,DEBIT,,,ITALY
035000,PAGOBANCOMAT,DEBIT,,,ITALY
035899,PAGOBANCOMAT,DEBIT,,,ITALY
035980,PAGOBANCOMAT,DEBIT,,,ITALY
035990,PAGOBANCOMAT,DEBIT,,,ITALY
040094,PRIVATE LABEL,DEBIT,,BNP PARIBAS FORTIS,BELGIUM
042005,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
050000,PAGOBANCOMAT,DEBIT,,,ITALY
050340,PAGOBANCOMAT,DEBIT,,,ITALY
050349,PAGOBANCOMAT,DEBIT,,,ITALY
050360,PAGOBANCOMAT,DEBIT,,,ITALY
050409,PAGOBANCOMAT,DEBIT,,,ITALY
050489,PAGOBANCOMAT,DEBIT,,,ITALY
050800,PAGOBANCOMAT,DEBIT,,,ITALY
051040,PAGOBANCOMAT,DEBIT,,,ITALY
051169,PAGOBANCOMAT,DEBIT,,,ITALY
051425,PAGOBANCOMAT,DEBIT,,,ITALY
051429,PAGOBANCOMAT,DEBIT,,,ITALY
051560,PAGOBANCOMAT,DEBIT,,,ITALY
052160,PAGOBANCOMAT,DEBIT,,,ITALY
052560,PAGOBANCOMAT,DEBIT,,,ITALY
052620,PAGOBANCOMAT,DEBIT,,,ITALY
052960,PAGOBANCOMAT,DEBIT,,,ITALY
052970,PAGOBANCOMAT,DEBIT,,,ITALY
053089,PAGOBANCOMAT,DEBIT,,,ITALY
053365,PAGOBANCOMAT,DEBIT,,,ITALY
053366,PAGOBANCOMAT,DEBIT,,,ITALY
053720,PAGOBANCOMAT,DEBIT,,,ITALY
053850,PAGOBANCOMAT,DEBIT,,,ITALY
053870,PAGOBANCOMAT,DEBIT,,,ITALY
053901,PAGOBANCOMAT,DEBIT,,,ITALY
053920,PAGOBANCOMAT,DEBIT,,,ITALY
054140,PAGOBANCOMAT,DEBIT,,,ITALY
054240,PAGOBANCOMAT,DEBIT,,,ITALY
054280,PAGOBANCOMAT,DEBIT,,,ITALY
054840,PAGOBANCOMAT,DEBIT,,,ITALY
054960,PAGOBANCOMAT,DEBIT,,,ITALY
055500,PAGOBANCOMAT,DEBIT,,,ITALY
055840,PAGOBANCOMAT,DEBIT,,,ITALY
055849,PAGOBANCOMAT,DEBIT,,,ITALY
056400,PAGOBANCOMAT,DEBIT,,,ITALY
056760,PAGOBANCOMAT,DEBIT,,,ITALY
056960,PAGOBANCOMAT,DEBIT,,,ITALY
057041,PAGOBANCOMAT,DEBIT,,,ITALY
057155,PRIVATE LABEL,CREDIT,STANDARD,CHINA MERCHANTS BANK,CHINA
057488,PAGOBANCOMAT,DEBIT,,,ITALY
057720,PAGOBANCOMAT,DEBIT,,,ITALY
057725,PAGOBANCOMAT,DEBIT,,,ITALY
057878,PAGOBANCOMAT,DEBIT,,,ITALY
057920,PAGOBANCOMAT,DEBIT,,,ITALY
058240,PAGOBANCOMAT,DEBIT,,,ITALY
058569,PAGOBANCOMAT,DEBIT,,,ITALY
060108,PAGOBANCOMAT,DEBIT,,,ITALY
060300,PAGOBANCOMAT,DEBIT,,,ITALY
060301,PAGOBANCOMAT,DEBIT,,,ITALY
060400,PAGOBANCOMAT,DEBIT,,,ITALY
060450,PAGOBANCOMAT,DEBIT,,,ITALY
060500,PAGOBANCOMAT,DEBIT,,,ITALY
060550,PAGOBANCOMAT,DEBIT,,,ITALY
060552,PAGOBANCOMAT,DEBIT,,,ITALY
060600,PAGOBANCOMAT,DEBIT,,,ITALY
060650,PAGOBANCOMAT,DEBIT,,,ITALY
060800,PAGOBANCOMAT,DEBIT,,,ITALY
060850,PAGOBANCOMAT,DEBIT,,,ITALY
060900,PAGOBANCOMAT,DEBIT,,,ITALY
060950,PAGOBANCOMAT,DEBIT,,,ITALY
061100,PAGOBANCOMAT,DEBIT,,,ITALY
061150,PAGOBANCOMAT,DEBIT,,,ITALY
061300,PAGOBANCOMAT,DEBIT,,,ITALY
061450,PAGOBANCOMAT,DEBIT,,,ITALY
061500,PAGOBANCOMAT,DEBIT,,,ITALY
061551,PAGOBANCOMAT,DEBIT,,,ITALY
061600,PAGOBANCOMAT,DEBIT,,,ITALY
061650,PAGOBANCOMAT,DEBIT,,,ITALY
061700,PAGOBANCOMAT,DEBIT,,,ITALY
061750,PAGOBANCOMAT,DEBIT,,,ITALY
061950,PAGOBANCOMAT,DEBIT,,,ITALY
061952,PAGOBANCOMAT,DEBIT,,,ITALY
062200,PAGOBANCOMAT,DEBIT,,,ITALY
062258,PAGOBANCOMAT,DEBIT,,,ITALY
062306,PAGOBANCOMAT,DEBIT,,,ITALY
062307,PAGOBANCOMAT,DEBIT,,,ITALY
062308,PAGOBANCOMAT,DEBIT,,,ITALY
062450,PAGOBANCOMAT,DEBIT,,,ITALY
062600,PAGOBANCOMAT,DEBIT,,,ITALY
062700,PAGOBANCOMAT,DEBIT,,,ITALY
062800,PAGOBANCOMAT,DEBIT,,,ITALY
062950,PAGOBANCOMAT,DEBIT,,,ITALY
063100,PAGOBANCOMAT,DEBIT,,,ITALY
063150,PAGOBANCOMAT,DEBIT,,,ITALY
063408,PAGOBANCOMAT,DEBIT,,,ITALY
063458,PAGOBANCOMAT,DEBIT,,,ITALY
063700,PAGOBANCOMAT,DEBIT,,,ITALY
063800,PAGOBANCOMAT,DEBIT,,,ITALY
063858,PAGOBANCOMAT,DEBIT,,,ITALY
069060,PAGOBANCOMAT,DEBIT,,,ITALY
069150,PAGOBANCOMAT,DEBIT,,,ITALY
069300,PAGOBANCOMAT,DEBIT,,,ITALY
072005,PRIVATE LABEL,DEBIT,,TBI BANK,BULGARIA
080000,PAGOBANCOMAT,DEBIT,,,ITALY
080004,PAGOBANCOMAT,DEBIT,,,ITALY
084250,PAGOBANCOMAT,DEBIT,,,ITALY
084610,PAGOBANCOMAT,DEBIT,,,ITALY
085620,PAGOBANCOMAT,DEBIT,,,ITALY
089310,PAGOBANCOMAT,DEBIT,,,ITALY
095008,PAGOBANCOMAT,DEBIT,,,ITALY
100001,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,INDIA
100002,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,INDIA
100003,LOCAL BRAND,DEBIT,CLASSIC,FEDERAL BANK,INDIA
100004,LOCAL BRAND,DEBIT,CLASSIC,CENTRAL BANK OF INDIA,INDIA
100005,LOCAL BRAND,DEBIT,CLASSIC,BANK OF INDIA,INDIA
100006,LOCAL BRAND,DEBIT,PREPAID,UCO BANK,INDIA
100007,LOCAL BRAND,DEBIT,PREPAID,RBL BANK,INDIA
